年份,考次,考科,題號,題目,選項A,選項B,選項C,選項D,正確答案,答案來源,圖片
民國107年,第2次,醫學(六),60,"一位籃球選手可以帶球跑步上籃,但在跳投時臏骨(patella)下緣會有疼痛現象,下列那種疾病是最可能的 診斷?",前十字韌帶(anterior cruciate ligament)斷裂,膝骨性關節炎(osteoarthritis),內側半月型軟骨(meniscus)破裂,膝肌腱炎(patellar tendinitis),D,原始,[]
民國107年,第2次,醫學(六),61,"針對第十二節胸椎發生壓迫性骨折(compression fracture)病人處方輔具支架時,下列何者最合適?",全背架(Knight-Taylor brace),短腰背架(Knight brace),束腹(lumbar corset),米瓦基背架(Milwaukee brace),A,原始,[]
民國107年,第2次,醫學(六),62,"有關肺部復健(pulmonary rehabilitation)的描述,下列何者錯誤?",治療的對象包括阻塞性肺疾病、限制性肺疾病、神經肌肉病變、脊髓損傷患者等,"主要的目的在逆轉肺部組織的病理變化 <sub> </sub>C.復健內容除了呼吸訓練、排痰外,也包括藥物優化、生理功能的評估和對失能的應對方式(coping skills),教育、營養諮詢及精神社會支持等",,"訓練結果常可使患者增加運動耐受力,改善生活功能,增加生活品質,更進一步減少醫療資源的耗用",B,原始,[]
民國107年,第2次,醫學(六),63,"關於運動和血糖的關係,下列敘述何者錯誤?",運動可以協助糖尿病患者血糖的控制,運動不能促進第II型糖尿病患者的胰島素敏感度,"第I型糖尿病患者,在運動時容易有低血糖之危險","對血糖耐受性差之患者,規律運動加上飲食控制,可以降低此類患者變成第II型糖尿病之危險性",B,原始,[]
民國107年,第2次,醫學(六),64,運動測試(exercise testing)的絕對禁忌症(absolute contraindication)不包含下列那一項?,不穩定心絞痛(unstable angina),有症狀且嚴重的主動脈狹窄(aortic stenosis),第一度心房心室阻斷(first degree atrioventricular block),急性全身性感染症合併發燒、全身酸痛,C,原始,[]
民國107年,第2次,醫學(六),65,"脊椎側彎(scoliosis)在腦性麻痺(cerebral palsy)患者的發生率為21%至76%,若以粗大動作功能評估系 統(Gross Motor Function Classification System, GMFCS)來分類腦性麻痺的嚴重度,下列那種嚴重度的 腦性麻痺患者有較大的機會產生脊椎側彎的問題?",GMFCS I,GMFCS II,GMFCS III,GMFCS IV,D,原始,[]
民國107年,第2次,醫學(六),66,下列何者不是新生兒臂神經叢受損(neonatal brachial plexus injuries)的危險因子?,早產(prematurity),肩難產(shoulder dystocia),多產婦(multiparous mothers),"高出生體重(大於4,500公克)",ACD,申覆後,[]
民國107年,第2次,醫學(六),67,"若病人中風後,溝通能力受損,而且有明顯聽力理解障礙,覆誦困難,口語表達雖然流利,但有明顯找字困 難,以致別人不了解他說的內容,他可能屬於那一種失語症?",渥尼克氏失語症(Wernicke aphasia),經皮質感覺型失語症(transcortical sensory aphasia),布洛卡氏失語症(Broca aphasia),經皮質運動型失語症(transcortical motor aphasia),A,原始,[]
民國107年,第2次,醫學(六),68,"做吞嚥功能檢查時,請病人說 ”la—la—la” 是在檢測:",口唇功能,舌頭功能,聲帶功能,軟腭功能,B,原始,[]
民國107年,第2次,醫學(六),69,下列那一種情況發生時是採用牽引療法(cervical traction)治療頸部疼痛的絕對禁忌症?,Spurling 測試陽性,Lhermitte 徵兆陽性,頸椎退化性關節炎(degenerative arthritis of cervical spine),頸神經根病變(cervical radiculopathy),B,原始,[]
民國107年,第2次,醫學(六),70,"一個病人因為跌倒撞到手肘,2個月後來就診,發現在內收拇肌(adductor pollicis)及骨間肌(interossei) 有萎縮現象,最有可能是那一條神經病變?",正中神經,橈神經,尺神經,肌皮神經,C,原始,[]
民國107年,第2次,醫學(六),71,"承上題,為防止這類病人的肌肉萎縮,下列何種復健治療最合適?",功能性電刺激(functional electrical stimulation),經皮神經電刺激(transcutaneous electrical nerve stimulation),低能量雷射治療(low level laser therapy),超音波熱療法(ultrasound diathermy),A,原始,[]
民國107年,第2次,醫學(六),72,"57歲女士主訴下樓梯時,突然左腳後跟劇烈疼痛,隔天至骨科門診,接受腳後跟超音波檢查矢狀切面如圖, 最可能之診斷為何?",Achilles tendinitis,Achilles tendon fibroma,Achilles tendon rupture,retro-calcaneal bursitis,C,原始,[]
民國107年,第2次,醫學(六),73,"電腦斷層檢查發現廣泛頭骨增厚(diffuse skull thickening),下列何者最不會發生?",肢端肥大症(acromegaly),地中海型貧血(thalassemia),水腦症(hydrocephalus),小腦症(microcephaly),C,原始,[]
民國107年,第2次,醫學(六),74,"28歲女性主訴發燒和下腹疼痛,電腦斷層檢查呈現如圖,箭號所指之敘述何者最正確?",子宮內膜炎,輸卵管卵巢膿瘍,子宮(輸卵管)外孕,子宮頸癌,B,原始,[]
民國107年,第2次,醫學(六),75,"43歲女性病人,健檢時發現CA-199升高,接受腹部影像檢查,上圖為骨盆處橫切超音波,下圖為CT最可能 之診斷為何?",卵巢癌(ovarian cancer),卵巢畸胎瘤(ovarian teratoma),子宮內膜異位(endometriosis),卵巢濾泡囊腫(ovarian follicular cyst),B,原始,"['images/107080_44_q075_i0.jpg', 'images/107080_44_q075_i1.jpg']"
民國107年,第2次,醫學(六),76,"60歲女性病人,主訴突發左眼劇烈疼痛,視力模糊併有光暈,噁心嘔吐,瞳孔散大,血壓140/80 mmHg,照會眼科後,建議處置,下列何者最為適當:",治療高血壓,靜注或口服 acetazolamide,使用局部止痛劑及眼球肌肉鬆弛劑,使用局部類固醇,B,原始,"['images/107080_44_q076_i0.jpg', 'images/107080_44_q076_i1.jpg']"
民國107年,第2次,醫學(六),77,"一位25歲女性,今早開始下腹疼痛逐漸加劇,並有陰道出血的情形,來急診就診時,生命徵象如下:血壓 80/40 mmHg,脈搏130次/分鐘,呼吸22次/分鐘,體溫36.5℃。過去並無特殊病史,最後一次正常月經約7 週以前,下列處置何者較不適當?",安排懷孕檢測,"病人可以清楚表達不適,依照急救處理原則,給予O、IV、Monitor","可能是低血容性休克,給予大量輸液,並考慮予以輸血","心電圖監視器顯示竇性頻脈(sinus tachycardia),病人血壓低有休克現象,可考慮給予100焦耳的同步電",D,原始,[]
民國107年,第2次,醫學(六),78,"一位25歲懷孕22週婦女,被家人發現意識改變,送至急診時,已無呼吸、無脈搏,下列敘述及處置,何者錯","懷孕婦女急救時,必須予以左側躺(右側墊高),以減少子宮對下腔靜脈(inferior vena cava)的壓迫","由於懷孕的子宮會將橫膈往上推,所以心臟按摩壓胸位置在胸骨中央偏上方處","如使用電擊器去顫(Defibrillation),位置與劑量和一般成人急救是一樣的","緊急剖腹產,對於22週的胎兒有存活的機會,同時也可以提升母親救活的機會",AB,申覆後,[]
民國107年,第2次,醫學(六),79,"30歲男性病患,診斷為顱內出血,經治療後病患仍意識不清,病情不樂觀,家屬考量正統西醫療效停滯不 前,故另尋其他有機會改善病況之方法。由於病家有虔誠之民間宗教信仰,在請示神明後,向醫護人員要求 灌食符水,在此種情況下,下列處置何者最為適當?",醫護人員應該無條件協助灌食,醫護人員應禁止家屬自行灌食,醫護人員應主動指導家屬如何灌食,"醫護人員可要求家屬簽立切結書,容許家屬自行灌食",D,原始,[]
民國107年,第2次,醫學(六),80,"安排病人手術前,需要跟病人詳細說明手術的內容及其效益風險,確認病人了解及同意後,再請病人簽署手 術知情同意書(informed consent),這種的作法是在確保:",尊重自主原則(respect for autonomy),行善原則(beneficence),不傷害原則(non-maleficence),正義原則(justice),A,原始,[]
民國107年,第2次,醫學(四),1,"一名5歲男童就診主訴發高燒3天,喉嚨痛、口水直流,媽媽發現男童手上腳上出現許多紅疹。身體診察發現 喉嚨軟顎上出現如滿天星般的水泡,手掌、腳掌、臀部也出現如水泡般的疹子,下列敘述何者錯誤?",這是腸病毒引起的手足口症的典型表現,腸病毒的治療主要是支持性療法,"若腸病毒感染併發重症則屬於第三類法定傳染病,須在1週內通報","腸病毒的病情嚴重時用抗病毒藥物Acyclovir來治療,可改善存活率",D,原始,[]
民國107年,第2次,醫學(四),2,"9個月大的男嬰高燒5天,今天早上開始呈現嗜睡狀態,晚上因全身僵直陣攣性發作(Generalized tonic clonic seizure)5分鐘被送來急診。在加護病房做了脊髓穿刺檢查,腦脊髓液報告顯示WBC 10000/µL(90% PMNs 和10% Lymphocyte),Protein 380 mg/dL,Glucose 5 mg/dL。下列何者為最可能的致病原?",單純疱疹病毒第一型(HSV type 1),肺炎鏈球菌(Streptococcus pneumoniae),腸病毒(Enterovirus),新型隱球菌(Cryptococcus neoformans),B,原始,[]
民國107年,第2次,醫學(四),3,"1歲半兒童被帶來門診想接受疫苗注射,在他11個月大時,曾因病接受免疫球蛋白(IVIG)的治療。下列何種 疫苗之補接種較為適合?",麻疹-德國麻疹-腮腺炎疫苗,水痘疫苗,A型肝炎疫苗,活性日本腦炎疫苗,C,原始,[]
民國107年,第2次,醫學(四),4,"10個月大的男嬰發燒和皮疹已2天。過去健康狀況良好,家人沒有生病。此男嬰精神好,身體診察發現口腔黏 膜有潰瘍,頭皮、臉部、耳朵和軀幹有水泡,部分水泡中央凹陷呈肚臍狀。最可能的診斷是:",手足口症(Hand-foot-and-mouth disease),猩紅熱(Scarlet fever),水痘(Varicella),麻疹(Measles),C,原始,[]
民國107年,第2次,醫學(四),5,"5歲男孩2天前開始出現發燒、頭痛和喉嚨痛。發燒1天後頸部出現皮疹,接著散佈到軀幹和四肢。其紅色小丘 疹感覺像砂紙一樣。病童口腔沒有潰瘍,舌頭呈草莓樣。此病最可能的致病原是:",第6型人類疱疹病毒,微小病毒B19型,金黃色葡萄球菌,A型鏈球菌,D,原始,[]
民國107年,第2次,醫學(四),6,"9個月大的女嬰,發燒咳嗽2天,出現聲音沙啞、咳嗽聲音異常、呼吸費力,來急診就醫,醫師發現有明顯的 喘鳴音(Stridor),下列何種處置最不合適?",給與氧氣吸入治療,給與吸入性腎上腺素治療,給與類固醇治療,給與抗生素注射治療,D,原始,[]
民國107年,第2次,醫學(四),7,下列何者不是足月新生兒會有的正常姿勢?,平躺時四肢呈屈曲姿勢,俯臥時骨盆會平貼床面,"驚嚇時雙手先向外伸張,再作擁抱狀","頭轉向一側,同側手腳呈現伸張姿勢",B,原始,[]
民國107年,第2次,醫學(四),8,"一個40週出生2,000公克的新生兒,在出生後第2小時出現呼吸喘快、有肋骨下凹陷、全身發紅但嘴唇為紫紅 色的現象,體溫脈博正常,檢測血糖值為30 mg/dL。接下來應做何種檢驗最為重要?",C反應蛋白(CRP),血球血比容(Hematocrit),心臟超音波(Heart ultrasound),血液鈉離子濃度(Serum sodium concentration),B,原始,[]
民國107年,第2次,醫學(四),9,"一個新生兒以真空吸引器輔助娩出後,頭顳葉與枕部發現一腫塊,它摸起來像水袋樣有波動,而且跨越骨縫。 身體診察發現前囟門無突出,血壓40/25 mmHg、心跳每分鐘190次,無神經學異常,下列何者為最可能之診",帽狀腱膜下血腫(Subgaleal  hemorrhage),硬膜上出血(Epidural hemorrhage),胎頭血腫(Cephalohematoma),胎頭產瘤(Caput succedaneum),A,原始,[]
民國107年,第2次,醫學(四),10,"一個足月嬰兒出生後哭聲洪亮、四肢活動力好、全身膚色紅潤、心跳大約140/分 、呼吸40/分,抽吸刺激時 會有打噴嚏反應,他的Apgar Score為幾分?",4,6,8,10,D,原始,[]
民國107年,第2次,醫學(四),11,"下列物質的主要吸收位置,何者不是在十二指腸和近端空腸?",鈣(Calcium),鐵(Iron),葉酸(Folic acid),膽汁酸(Bile acid),D,原始,[]
民國107年,第2次,醫學(四),12,"除初乳之外,下列關於母乳(Breast milk)與嬰兒配方(Infant formula)的描述和比較何者最為正確?","母乳所含的蛋白質濃度較低,嬰兒配方所含的蛋白質濃度較高","母乳所含的脂肪濃度較低,嬰兒配方所含的脂肪濃度較高","母乳中不含維生素A,嬰兒配方則含有維生素A","母乳中不含維生素D,嬰兒配方則含有維生素D",A,原始,[]
民國107年,第2次,醫學(四),13,"關於胃食道逆流(Gastroesophageal reflux)與肥厚性幽門狹窄(Hypertrophic pyloric stenosis)之比較, 下列何者正確?","胃食道逆流沒有男女性別比的差異,肥厚性幽門狹窄則是女生比男生多","胃食道逆流的嬰兒大多會嚴重影響體重增加,肥厚性幽門狹窄未治療大多會嚴重嘔吐甚至脫水","胃食道逆流嬰兒的嘔吐物多不含膽汁,肥厚性幽門狹窄嬰兒的嘔吐物多含有膽汁","胃食道逆流的嬰兒大多隨年齡增長而自行改善,肥厚性幽門狹窄嬰兒確診後需要手術或藥物治療",D,原始,[]
民國107年,第2次,醫學(四),14,"關於兒童腸套疊(Intussusception)的表現,下列何者最為典型?","通常在1至2歲腸套疊的病童,大都可問到在發病前有受到病毒感染,以致於淋巴增生產生引導點(Leading point)","病童多為急性持續性腹痛,中間不停歇,膝蓋彎曲朝向腹部,臉色蒼白表情痛苦","除了腹痛嘔吐和草莓醬樣大便(Currant jelly stool)之外,在病童右上腹可能會摸到硬塊,且在腹痛病程之 間可能會有嗜睡的現象","以顯影劑或生理食鹽水或空氣從肛門端導入大腸回灌將腸套疊灌通後,復發的機率為20%以上",C,原始,[]
民國107年,第2次,醫學(四),15,"1個月大的嬰兒到健兒門診接受預防注射,目前全母乳哺餵,身體診察時發現眼白泛黃,胸腹部皮膚呈現黃 褐色,詢問大便顏色屬「嬰兒大便辨識卡」5號。下列處置何者最不適當?","建議停止哺餵母乳,2天後再追蹤黃疸是否下降",檢驗血中直接及總膽紅素值,安排腹部超音波,檢驗γGT(γ-glutamyl transpeptidase),A,原始,[]
民國107年,第2次,醫學(四),16,"女童突發四肢無力至急診。血壓100/60 mmHg,血液檢查發現:肌酸酐0.6 mg/dL,鈉離子濃度136 mmol/L,鉀離子濃度2.2 mmol/L,滲透壓293 mOsmol/kgH2O。尿液檢查發現:肌酸酐98.5 mg/dL,鈉離子 濃度30 mmol/L,鉀離子濃度37 mmol/L,滲透壓370 mOsmol/kgH2O,女童Trans-tubular potassium gradient(TTKG)數值為何?",0.075,13.3,9.76,0.1024,B,原始,[]
民國107年,第2次,醫學(四),17,臨床上最廣泛使用來估算兒童腎絲球過濾率(Estimated GFR)的公式或指標為何?,Modification of Diet in Renal Disease(MDRD)公式,Schwartz formula,Cockcroft-Gault equations,血中肌酸酐濃度(Creatinine),B,原始,[]
民國107年,第2次,醫學(四),18,"關於嬰兒搖晃症(Shaken baby syndrome)之成因,下列何者較正確?",多因坐在嬰兒搖椅造成,多因照顧者搖抱哄睡造成,多因照顧者惡意搖晃造成,多因照顧者與嬰兒玩耍造成,C,原始,[]
民國107年,第2次,醫學(四),19,"15天大女嬰實驗數值顯示Free T4 0.32 ng/dL(正常值:0.8~2 ng/dL)、T4 2.2 µg/dL(正常值:4.5~12.5 µg/dL)、TSH 102 mIU/L(正常值:1.0~15.0 mIU/L),下列敘述何者最正確?",為甲狀腺功能亢進之個案,這類疾病多為自體隱性遺傳導致,可能與先天性甲狀腺發育不良有關,身體診察可發現女嬰前囟門已癒合,C,原始,[]
民國107年,第2次,醫學(四),20,"16歲男學生身體診察顯示側睪丸均為2~3毫升,性釋素激試驗顯示睪固酮(Testosterone)<1.0 ng/mL,泡促素(FSH)之最高值為89.7 IU/L,黃體促素(LH)之最高值為68.6 IU/L。下列何者最符合病 人診斷?",柯林菲特氏症(Klinefelter syndrome),卡門氏症(Kallmann syndrome),普瑞德威利氏症(Prader-Willi syndrome),先天性腦垂體低能症(Congenital hypopituitarism),A,原始,[]
民國107年,第2次,醫學(四),21,"有關川崎氏症(Kawasaki disease)的治療考量,下列何者最為正確?",以免疫球蛋白(IVIG)2 g/kg為主要之治療,使用高劑量Aspirin(80~100 mg/kg/day)是為了抗凝血作用,使用低劑量Aspirin(3~5 mg/kg/day)是為了抗發炎作用,高燒時需用第三線抗生素以預防感染,A,原始,[]
民國107年,第2次,醫學(四),22,"1歲半的幼兒,昨晚發燒、咳嗽,今天到急診。醫師發現呼吸聲音變得明顯,聽診雙側有喘息音 (Wheezing),給與短效型支氣管擴張劑(Bronchodilator)後,喘息音沒有改變,下列何種診斷最有可",上呼吸道感染(Upper respiratory tract infection),細支氣管炎(Bronchiolitis),氣喘(Asthma),氣道異物阻塞(Airway foreign body obstruction),B,原始,[]
民國107年,第2次,醫學(四),23,"有關預防嬰幼兒過敏的觀念,下列敘述何者最不恰當?",孕婦飲食不需避免高過敏食物(例如海鮮、花生等),應延遲添加嬰幼兒副食品至6個月大之後,母乳哺育對於預防氣喘的效果不確定,目前國際指引尚未建議嬰幼兒常規性使用益生菌來預防過敏,B,原始,[]
民國107年,第2次,醫學(四),24,"兒童嚴重型再生不良性貧血的治療選項中,下列何種治療方式之治癒率較高?",放射治療,化療,輸血,血液幹細胞移植,D,原始,[]
民國107年,第2次,醫學(四),25,"一個7天大的新生兒有發紺現象,身體診察聽到分裂的第一心音與第二心音,左側胸骨線出現第三度收縮期 的心雜音。胸部X光顯示心臟有擴大情形,心電圖顯示心軸右偏與右心房擴大。此新生兒的診斷較可能是:",主動脈窄縮(Coarctation of aorta),左心發育不全症候群(Hypoplastic left heart syndrome),法洛氏四重症(Tetralogy of Fallot),艾伯斯坦異常(Ebstein anomaly),D,原始,[]
民國107年,第2次,醫學(四),26,下列何者不是胎兒循環轉換為新生兒循環會發生的生理過程?,動脈導管變成由左至右分流,靜脈導管關閉,卵圓孔變成由右至左分流,臍動脈萎縮關閉,C,原始,[]
民國107年,第2次,醫學(四),27,"單一心室合併肺動脈狹窄(Single ventricle with pulmonary stenosis)之8個月大病童,在病房發現其活力不 佳,且有嚴重發紺現象。身體診察發現心跳速率每分鐘40下,血氧濃度40%。下列何種處置不恰當?","將病患維持Knee-chest position,並給與氧氣","如有嚴重酸中毒,給與Bicarbonate治療",給與Epinephrine急救治療,會診小兒心臟外科醫師評估手術治療介入時機,C,原始,[]
民國107年,第2次,醫學(四),28,"典型的法洛氏四重症(Tetralogy of Fallot)患者在手術矯正前,胸前聽診時可以聽到一個明顯的收縮期心雜 音(Systolic murmur),此雜音的成因為何?",主動脈跨位(Overriding aorta)造成經過主動脈的血流過多,大型的心室中膈缺損(Ventricular septal defect)造成肺部血流過多,主動脈分出的側枝循環(Collateral circulation)過於旺盛,右心室出口狹窄(Right ventricular outflow tract obstruction)造成血流加速,D,原始,[]
民國107年,第2次,醫學(四),29,"關於染色體核型(Karyotyping),下列敘述何者錯誤?","正常男性染色體核型為46,XY","47,XXY即為Klinefelter syndrome","45,X為女性表徵,病人容易有Premature ovarian failure","46,XY,del(5)(p12)指的是第五號染色體的長臂發生了Deletion",D,原始,[]
民國107年,第2次,醫學(四),30,"12歲男孩,身高185公分,四肢極為細長。經眼科檢查發現雙側Lens subluxation,下列何種檢查對診斷最無 幫助?",Plasma amino acid level,Serum homocysteine level,Mutation analysis of Marfan Syndrome,Muscle biopsy,D,原始,[]
民國107年,第2次,醫學(四),31,"病人發生代謝性酸血症(Metabolic acidosis)合併下列何種臨床情境,則可能為Inborn errors of metabolism 的機率最高?","3週大新生兒,一直嘔吐、無法進食、活力差。血液Anion gap與Lactic acid增加;尿液Ketones 4+",10個月大男嬰持續腹瀉3天。血液呈現氯高而Anion gap正常,3歲大男童高燒5天且食慾差。血液白血球增高,"8歲女童多吃、多喝、多尿但體重下降。血糖410 mg/dL,血液呈現Anion gap增加",A,原始,[]
民國107年,第2次,醫學(四),32,"4歲男童因有自閉行為(Autistic behavior)而就診,出生時的基本新生兒篩檢及常規染色體檢查並無異常。 身體診察顯示頭圍正常、臉型稍長、耳朵大、睪丸體積亦較同年紀男生大。其30歲的媽媽亦因遲遲未能再懷 孕,經檢查發現有早發性卵巢衰竭。此男童最有可能患有下列何種疾病?",Asperger syndrome,Fragile X syndrome,Klinefelter syndrome,Tourette syndrome,B,原始,[]
民國107年,第2次,醫學(四),33,下列何種情形可不需立刻通報兒少保護小組?,"4歲男童無法行走,3日後檢查發現右股骨骨折,已是今年第3次外傷就醫","2個月女嬰頭皮血腫合併硬腦膜下出血 <sub> </sub>C.4歲男童攀爬遊戲器材時跌落,手腳多處挫傷擦傷",,"4歲女童據家屬描述走路跌倒後便無法行走,現就醫發現左股骨骨折",C,原始,[]
民國107年,第2次,醫學(四),34,"下列何者是濕疹(eczema),在病理下通常不會出現的特徵?",表皮層出現海綿狀病變(spongiosis),真皮層血管周圍出現淋巴球和嗜伊紅性球,表皮下出現水疱(subepidermal vesicle),表皮層出現不規則的棘狀增生變化(irregular acanthosis),C,原始,['images/107080_22_q034_i0.jpg']
民國107年,第2次,醫學(四),35,"19歲女性,因為腳扭傷而貼敷酸痛藥布,兩天後,出現如圖所示會癢之皮膚病變,下列何種檢查最有助於診",KOH鏡檢(KOH examination),貼膚試驗(patch test),針刺試驗(prick test),Tzanck抹片檢查(Tzanck test),B,原始,[]
民國107年,第2次,醫學(四),36,"有關太田母斑(nevus of Ota)的敘述,下列何者錯誤?",好發於臉上三叉神經第三分支部位,可伴隨同側之眼鞏膜黑藍色斑,通常是單側病變,好發於東方女性,A,原始,[]
民國107年,第2次,醫學(四),37,"關於鋅缺乏(zinc deficiency)引起的皮膚疾病的敘述,下列何者錯誤?",可為先天性或後天性原因造成鋅缺乏,病人在眼睛、口唇及肛門周圍可見急性濕疹樣皮膚病變,"病徵以皮疹表現為主,通常不會有掉髮、腹瀉和昏睡等症狀",血液中鋅和alkaline phosphatase的濃度有助於確診,C,原始,[]
民國107年,第2次,醫學(四),38,"20歲女性於六週前,發現前臂出現一微癢紅色斑塊,自行使用藥膏,但皮疹逐漸擴大如圖所示,下列敘述何 者錯誤?","應該使用伍氏燈(Wood's lamp)檢查,若沒有螢光反應,則可以排除體癬的診斷",應詢問是否有養寵物,應進行KOH鏡檢,"若皮疹合併有搔抓之小潰瘍,亦要小心是否合併繼發性細菌感染",A,原始,[]
民國107年,第2次,醫學(四),39,"關於梅毒的敘述,下列何者正確?",梅毒螺旋體(Treponema pallidum)可以利用鏡檢與其他nonvenereal diseases的treponemes做鑑別診斷,"二期梅毒皮疹經治療後,皮疹通常在4~12週後消褪","二期梅毒皮疹典型發生在chancre出現的3~12週後,但在HIV病患出現的時間可能與chancre有所重疊",血液專一性treponemal test是監測梅毒治療效果的最佳指標,BC,申覆後,[]
民國107年,第2次,醫學(四),40,"35歲女性主述於2年前,手部遇冷會出現指端變紫黑色的情形,另外也抱怨顏面紅斑及多發性關節痛。最近1 年,工作時容易疲勞,實驗室檢查Anti-U1 RNP抗體為1:1280。最可能的診斷為:",全身性硬化症(systemic sclerosis),系統性紅斑狼瘡(systemic lupus erythematosus),皮膚肌炎(dermatomyositis),混合性結締組織病(mixed connective tissue disease),D,原始,[]
民國107年,第2次,醫學(四),41,"Sjogren's syndrome常見的皮膚病變,下列何者錯誤?",cutaneous vasculitis,acquired ichthyosis,Raynaud phenomenon,erythema multiforme,B,原始,"['images/107080_22_q041_i0.jpg', 'images/107080_22_q041_i1.jpg']"
民國107年,第2次,醫學(四),42,"曾接受腹部手術後的病人,因腸胃不適,常長期局部熱敷減輕症狀,皮膚出現如圖所示的色素沉著,下列敘 述何者正確?",因為紫外線所引起之黑色素細胞增生,因為患部燙傷起水疱後發炎所留下,患部皮膚可併發皮膚鱗狀上皮細胞癌,繼續局部熱敷可促進色素消散,C,原始,[]
民國107年,第2次,醫學(四),43,"下列何者為皮膚角質層主要的脂質成分,且缺少時,與異位性皮膚炎的發生有關?",cholesterol,ceramide,free fatty acid,triglyceride,B,原始,[]
民國107年,第2次,醫學(四),44,"6歲男孩,在嬰兒時右側頭皮出現一肉色隆起之斑塊如圖所示,隨著時間緩慢變大,最有可能的診斷為何?",seborrheic keratosis,sebaceous hyperplasia,nevus sebaceous,verruca,C,原始,['images/107080_22_q044_i0.jpg']
民國107年,第2次,醫學(四),45,"承上題,關於此腫瘤之敘述,下列何者錯誤?","若其顏色及形狀無不規則的變化,只是緩慢變大,可先觀察不需馬上切除","此腫瘤雖然是良性的,但之後仍可能在其上產生基底細胞癌或其他皮膚癌",成年後病灶會自然消失,"除了手術切除以外,二氧化碳雷射也是一種治療的選擇",C,原始,[]
民國107年,第2次,醫學(四),46,"當發生腦血管阻塞後,腦細胞會發生缺血連鎖反應(ischemic cascade);下列反應順序何者為最正確?① 細胞去極化(depolarization) ②鈉鉀離子能量系統瓦解(sodium/potassium ATP pump failure) ③細胞 內的鈣離子增加,活化細胞內酵素,溶解胞器(apoptosis) ④釋放興奮性神經傳遞物質,如麩胺酸 (glutamate)",②→①→④→③,①→②→③→④,①→③→④→②,②→③→①→④,A,原始,[]
民國107年,第2次,醫學(四),47,"因長期高血壓造成的腦出血,以下何者為最常見的部位?",殼核(putamen),額葉(frontal lobe),橋腦(pons),小腦(cerebellum),A,原始,[]
民國107年,第2次,醫學(四),48,"造成腦靜脈竇栓塞(cerebral venous sinus thrombosis)的原因,下列何者可能性最低?",血小板低下(thrombocythemia),高血壓,惡性腫瘤,服用口服避孕藥,AB,申覆後,[]
民國107年,第2次,醫學(四),49,"下列有關健康成人正常睡眠的結構,何者正確?",每個睡眠週期約60分鐘,非動眼睡眠第三期約占睡眠50%的時間,入睡通常小於5分鐘,每晚經歷3~5個睡眠週期,D,原始,[]
民國107年,第2次,醫學(四),50,"關於重積癲癇(status epilepticus)治療,下列何者錯誤?","癲癇發作時應立即給與抗癲癇藥物如phenytoin,並避免給予苯二氮類藥物(benzodiazepines)如 lorazepam",抗癲癇藥物應使用靜脈注射類而不是口服類,"若使用抗癲癇藥物後仍持續發作,進入頑固性重積癲癇(refractory status epilepticus),應再加上麻醉類 藥物如propofol",腦波監控是必要檢查,A,原始,[]
民國107年,第2次,醫學(四),51,下列有關額葉癲癇(frontal lobe epilepsy)的描述何者錯誤?,"癲癇發作(seizure)短暫,可能不會有癲癇發作後混亂(postictal confusion)",腦波圖(scalp EEG)可能看不出明顯異常,癲癇發作傾向在晚上睡眠中,phenytoin為治療首選藥物,D,原始,[]
民國107年,第2次,醫學(四),52,"一位20歲男性突然發生頸部僵硬的症狀,持續維持在奇怪的姿勢而很難轉動。此患者並無外傷,最近因為胃 食道逆流服用metoclopramide藥物治療。此時最好的治療方式是給與下列那一種藥物?",phenytoin,botulinum toxin,benztropine mesylate,haloperidol,C,原始,[]
民國107年,第2次,醫學(四),53,"46歲女性,近2、3週覺得疲倦、無力、有輕微發燒,必須用雙手支撐才能從椅子站起,右手也無法舉高去梳 頭髮。上眼瞼及手指關節背面出現紫紅色脫屑斑。根據病史及臨床症狀,下列何者與此疾病最不相關?",自體免疫性疾病(autoimmune disease),以侵犯神經(nerve)及皮膚(skin)為主,合併有惡性腫瘤,出現四肢對稱性的近端肌肉無力,B,原始,[]
民國107年,第2次,醫學(四),54,"52歲男性,主訴反覆出現之左臉陣發性劇烈疼痛一年多,在發作數週或數月後,可自行緩解數月。疼痛部位 大多在左臉中下部分,無感覺缺失。其最可能診斷為下列何者?",中腦(midbrain)中風,三叉神經痛(trigeminal neuralgia),舌咽神經痛(glossopharyngeal neuralgia),癲癇發作(seizures),B,原始,[]
民國107年,第2次,醫學(四),55,"65歲女性素食者來門診,主訴漸進性步態不穩6個月,血液檢查發現維生素B(Vitamin B)偏低,神經 1212 學檢查發現膝反射和踝反射增強,陽性巴賓斯基氏徵象(positive Babinski sign),下肢振動覺和位置覺受 損,神經傳導檢查出現周圍神經病變,其診斷最可能為何?",前額葉腦中風,中腦中風 <sub> </sub>C.梅毒脊髓症,,亞急性聯合變性(subacute combined degeneration),D,原始,[]
民國107年,第2次,醫學(四),56,"下列有關脊髓小腦共濟失調症(spinocerebellar ataxia)的敘述,何者正確?",有些是體染色體顯性遺傳、有些是隱性遺傳、有些則是偶發性的,造成脊髓小腦共濟失調症(spinocerebellar ataxia)的基因突變只有三核甘酸重複(trinucleotide repeat) 延長的型態,三核甘酸重複(trinucleotide repeat)延長的位置只出現在編碼位置(coding region),"巴金森氏症候群主要是因為丘腦的異常而導致,不會有小腦共濟失調的現象",A,原始,[]
